"Model"	"XmlQueryIndex"	"VerifytaQueryIndex"	"Kind"	"Status"	"ExitCode"	"Formula"
"LwM2M Models\Level 1\BaselineModel.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"E<> (Client1.S_BOOTSTRAP_DONE)"
"LwM2M Models\Level 1\BaselineModel.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"E<> (Client2.S_BOOTSTRAP_DONE)"
"LwM2M Models\Level 1\BaselineModel.xml"	"2"	"2"	"symbolic"	"satisfied"	"0"	"E<> (Client1.S_REGISTERED and Client2.S_REGISTERED)"
"LwM2M Models\Level 1\BaselineModel.xml"	"3"	"3"	"symbolic"	"satisfied"	"0"	"E<> (ObservationHandler1.S_COMPLETED)"
"LwM2M Models\Level 1\BaselineModel.xml"	"4"	"4"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 1\BaselineModel.xml"	"5"	"5"	"symbolic"	"satisfied"	"0"	"A[] (notification_count <= MAX_OBSERVATION_CYCLES)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"0"	"0"	"symbolic"	"not_satisfied"	"0"	"E<> attack_mode == NO_ATTACK and client_bootstrapped[0] and client_bootstrapped[1]"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"3"	"2"	"symbolic"	"satisfied"	"0"	"E<> attack_mode == MITM_ATTACK and (message_tampered[0] or message_tampered[1])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"4"	"3"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == MITM_ATTACK and message_tampered[0] imply !client_bootstrapped[0])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"5"	"4"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == MITM_ATTACK and message_tampered[1] imply !client_bootstrapped[1])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"6"	"5"	"symbolic"	"satisfied"	"0"	"A[] (message_tampered[0] imply attack_mode == MITM_ATTACK)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"7"	"6"	"symbolic"	"satisfied"	"0"	"A[] (message_tampered[1] imply attack_mode == MITM_ATTACK)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"8"	"7"	"symbolic"	"satisfied"	"0"	"E<> BootstrapHandler1.S_ALL_COMPLETE"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"10"	"8"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == FAKE_BS_ATTACK and client_bs_type[0] == 2 imply !client_bootstrapped[0])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"11"	"9"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == FAKE_BS_ATTACK and client_bs_type[1] == 2 imply !client_bootstrapped[1])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"12"	"10"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == FAKE_BS_ATTACK and client_bs_type[0] == 2 and client_state[0] == CLIENT_STATE_ERROR)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"13"	"11"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == FAKE_BS_ATTACK and client_bs_type[1] == 2 and client_state[1] == CLIENT_STATE_ERROR)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"14"	"12"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == FAKE_BS_ATTACK and client_bootstrapped[0] imply client_bs_type[0] == 1)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"15"	"13"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == FAKE_BS_ATTACK and client_bootstrapped[1] imply client_bs_type[1] == 1)"
"LwM2M Models\Level 2\Bootstrap\DTLS_Bootstrap.xml"	"1"	"0"	"symbolic"	"satisfied"	"0"	"E<> (dtls_enabled and client_bootstrapped[0] and client_bootstrapped[1])"
"LwM2M Models\Level 2\Bootstrap\DTLS_Bootstrap.xml"	"2"	"1"	"symbolic"	"satisfied"	"0"	"A[] (dtls_enabled imply !(client_bs_type[0] == 2 or client_bs_type[1] == 2))"
"LwM2M Models\Level 2\Bootstrap\DTLS_Bootstrap.xml"	"3"	"2"	"symbolic"	"satisfied"	"0"	"A[] (dtls_enabled imply !(message_tampered[0] or message_tampered[1]))"
"LwM2M Models\Level 2\Bootstrap\DTLS_Bootstrap.xml"	"4"	"3"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Observation\Attacker_Observation.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Observation\Attacker_Observation.xml"	"1"	"1"	"symbolic"	"not_satisfied"	"0"	"E<> attack_mode == NO_ATTACK and ObservationHandler1.S_COMPLETED"
"LwM2M Models\Level 2\Observation\Attacker_Observation.xml"	"3"	"2"	"symbolic"	"satisfied"	"0"	"E<> attack_mode == TAMPER_NOTIFY and (notification_tampered[0] or notification_tampered[1])"
"LwM2M Models\Level 2\Observation\Attacker_Observation.xml"	"4"	"3"	"symbolic"	"satisfied"	"0"	"E<> attack_mode == TAMPER_NOTIFY and ObservationHandler1.S_COMPLETED"
"LwM2M Models\Level 2\Observation\Attacker_Observation.xml"	"6"	"4"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == REPLAY_NOTIFY and replay_count > 0)"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"E<> attack_mode == NO_ATTACK and ObservationHandler1.S_COMPLETED"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"3"	"2"	"symbolic"	"not_satisfied"	"0"	"E<> attack_mode == TAMPER_NOTIFY and (notification_tampered[0] or notification_tampered[1])"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"4"	"3"	"symbolic"	"not_satisfied"	"0"	"E<> attack_mode == TAMPER_NOTIFY and ObservationHandler1.S_COMPLETED"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"6"	"4"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == REPLAY_NOTIFY and replay_count > 0)"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"9"	"5"	"symbolic"	"satisfied"	"0"	"A[] (oscore_enabled imply !(notification_tampered[0] or notification_tampered[1]))"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"10"	"6"	"symbolic"	"satisfied"	"0"	"A[] (oscore_enabled imply replay_count == 0)"
"LwM2M Models\Level 2\Observation\Oscore_Observation.xml"	"11"	"7"	"symbolic"	"satisfied"	"0"	"E<> (oscore_enabled and attack_mode == NO_ATTACK and ObservationHandler1.S_COMPLETED)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"A[] forall(c: client_id_t) 
        (client_registered[c] imply 
         server_last_msg_id[c] >= client_message_id[c])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"3"	"2"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == NO_ATTACK imply !attack_detected)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"4"	"3"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == NO_ATTACK and 
         forall(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"5"	"4"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == NO_ATTACK imply !attack_detected and !dos_throttling_active)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"7"	"5"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == REPLAY_ATTACK and attack_detected)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"8"	"6"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == REPLAY_ATTACK and 
         exists(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"9"	"7"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == REPLAY_ATTACK and replay_message_detected imply attack_detected)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"11"	"8"	"symbolic"	"satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and dos_throttling_active)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"12"	"9"	"symbolic"	"satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and 
         attack_counter >= MAX_ATTACKS and dos_throttling_active)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"13"	"10"	"symbolic"	"satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and !dos_throttling_active and 
         exists(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"15"	"11"	"symbolic"	"satisfied"	"0"	"E<> (client_given_chance[0])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"16"	"12"	"symbolic"	"satisfied"	"0"	"E<> (client_given_chance[1])"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"17"	"13"	"symbolic"	"satisfied"	"0"	"E<> (client_state[0] == CLIENT_STATE_BOOTSTRAP_COMPLETE)"
"LwM2M Models\Level 2\Registration\Attacker_Registration.xml"	"18"	"14"	"symbolic"	"satisfied"	"0"	"E<> (client_state[1] == CLIENT_STATE_BOOTSTRAP_COMPLETE)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"A[] forall(c: client_id_t) 
        (client_registered[c] imply 
         server_last_msg_id[c] >= client_message_id[c])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"3"	"2"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == REPLAY_ATTACK and attack_detected)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"4"	"3"	"symbolic"	"satisfied"	"0"	"E<> (attack_mode == REPLAY_ATTACK and 
         exists(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"5"	"4"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == REPLAY_ATTACK and replay_message_detected imply attack_detected)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"7"	"5"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and dos_throttling_active)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"8"	"6"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and 
         attack_counter >= MAX_ATTACKS and dos_throttling_active)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"9"	"7"	"symbolic"	"not_satisfied"	"0"	"E<> (attack_mode == DOS_ATTACK and !dos_throttling_active and 
         exists(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"11"	"8"	"symbolic"	"satisfied"	"0"	"E<> (client_given_chance[0])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"12"	"9"	"symbolic"	"satisfied"	"0"	"E<> (client_given_chance[1])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"13"	"10"	"symbolic"	"satisfied"	"0"	"E<> (client_state[0] == CLIENT_STATE_BOOTSTRAP_COMPLETE)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"14"	"11"	"symbolic"	"satisfied"	"0"	"E<> (client_state[1] == CLIENT_STATE_BOOTSTRAP_COMPLETE)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"16"	"12"	"symbolic"	"satisfied"	"0"	"A[] (dtls_enabled imply !dos_throttling_active)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"17"	"13"	"symbolic"	"satisfied"	"0"	"E<> (dtls_enabled and forall(c: client_id_t) client_registered[c])"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"18"	"14"	"symbolic"	"satisfied"	"0"	"A[] (dtls_enabled imply !attack_detected)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"19"	"15"	"symbolic"	"satisfied"	"0"	"A[] (dtls_enabled imply replay_counter == 0)"
"LwM2M Models\Level 2\Registration\DTLS_Registration.xml"	"20"	"16"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"2"	"0"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_bootstrapped == 1)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"3"	"1"	"smc"	"skipped"	""	"E[<=21000; 200] (max: notification_failed)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"6"	"2"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_bootstrapped == 1)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"7"	"3"	"smc"	"skipped"	""	"E[<=21000; 200] (max: notification_failed)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"10"	"4"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_bootstrapped == 1)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"11"	"5"	"smc"	"skipped"	""	"E[<=21000; 200] (max: notification_failed)"
"LwM2M Models\Level 3\Bootstrap\Smc_Seq_Bootstrap.xml"	"12"	"6"	"smc"	"skipped"	""	"E[<=21000;200] (max: retransmission_count)"
"LwM2M Models\Level 3\Observation\Smc_Observation_Non_Non.xml"	"1"	"0"	"smc"	"skipped"	""	"Pr[<=210000; 200] (<> ObservationHandler1.S_COMPLETED)"
"LwM2M Models\Level 3\Observation\Smc_Observation_Non_Non.xml"	"2"	"1"	"smc"	"skipped"	""	"Pr[<=210000; 200] (<> notification_sent[0] > 0)"
"LwM2M Models\Level 3\Observation\Smc_Observation_Non_Non.xml"	"3"	"2"	"smc"	"skipped"	""	"Pr[<=210000; 200] (<> notification_received[0] > 0)"
"LwM2M Models\Level 3\Observation\Smc_Observation_Non_Non.xml"	"4"	"3"	"smc"	"skipped"	""	"E[<=210000; 200] (max: notification_received[0])"
"LwM2M Models\Level 3\Observation\Smc_Observation_OSCORE_Non.xml"	"1"	"0"	"smc"	"skipped"	""	"E[<=210000; 200] (max: notification_received[0])"
"LwM2M Models\Level 3\Observation\Smc_Observation_OSCORE_Non.xml"	"2"	"1"	"smc"	"skipped"	""	"Pr[<=210000; 200] (<> notification_received[0] > 0)"
"LwM2M Models\Level 3\Observation\Smc_Observation_OSCORE_Retransmisssion.xml"	"1"	"0"	"smc"	"skipped"	""	"Pr[<=210000; 500] (<> notification_received[0] > 0)"
"LwM2M Models\Level 3\Observation\Smc_Observation_OSCORE_Retransmisssion.xml"	"2"	"1"	"smc"	"skipped"	""	"E[<=210000; 200] (max: notification_received[0])"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"1"	"0"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_registered == 1)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"2"	"1"	"smc"	"skipped"	""	"E[<=21000;200] (max: notification_failed)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"4"	"2"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_registered == 1)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"5"	"3"	"smc"	"skipped"	""	"E[<=21000;200] (max: notification_failed)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"7"	"4"	"smc"	"skipped"	""	"Pr[<=21000;200] (<> client_registered == 1)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"8"	"5"	"smc"	"skipped"	""	"E[<=21000;200] (max: notification_failed)"
"LwM2M Models\Level 3\Registration\smc_seq_registration.xml"	"9"	"6"	"smc"	"skipped"	""	"E[<=21000;200] (max: retransmission_count)"
